Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
100,"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten"
110,Konzessionen,"Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Konzessionen"
120,Gewerbliche Schutzrechte,"Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Gewerbliche Schutzrechte"
130,Ähnliche Rechte und Werte,"Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Ähnliche Rechte und Werte"
135,EDV-Software,"Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:EDV-Software"
140,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten,"Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten:Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten"
,02. Selbst geschaffene immaterielle Vermögensgegenstände,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:02. Selbst geschaffene immaterielle Vermögensgegenstände
143,Selbst geschaffene immaterielle Vermögensgegenstände,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:02. Selbst geschaffene immaterielle Vermögensgegenstände:Selbst geschaffene immaterielle Vermögensgegenstände
144,EDV-Software,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:02. Selbst geschaffene immaterielle Vermögensgegenstände:Selbst geschaffene immaterielle Vermögensgegenstände:EDV-Software
145,Lizenzen und Franchiseverträge,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:02. Selbst geschaffene immaterielle Vermögensgegenstände:Selbst geschaffene immaterielle Vermögensgegenstände:Lizenzen und Franchiseverträge
146,Konzessionen und gewerbliche Schutzrechte,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:02. Selbst geschaffene immaterielle Vermögensgegenstände:Selbst geschaffene immaterielle Vermögensgegenstände:Konzessionen und gewerbliche Schutzrechte
147,"Rezepte, Verfahren, Prototypen","Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:02. Selbst geschaffene immaterielle Vermögensgegenstände:Selbst geschaffene immaterielle Vermögensgegenstände:Rezepte, Verfahren, Prototypen"
148,Immaterielle Vermögensgegenstände in Entwicklung,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:02. Selbst geschaffene immaterielle Vermögensgegenstände:Selbst geschaffene immaterielle Vermögensgegenstände:Immaterielle Vermögensgegenstände in Entwicklung
,03. Geschäfts- oder Firmenwert,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:03. Geschäfts- oder Firmenwert
150,Geschäfts- oder Firmenwert,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:03. Geschäfts- oder Firmenwert:Geschäfts- oder Firmenwert
160,Verschmelzungsmehrwert,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:03. Geschäfts- oder Firmenwert:Verschmelzungsmehrwert
,04. Geleistete Anzahlungen,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:04. Geleistete Anzahlungen
170,Anzahlungen auf immaterielle Vermögensgegenstände,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:04. Geleistete Anzahlungen:Anzahlungen auf immaterielle Vermögensgegenstände
179,"Anzahlungen auf Geschäfts-, Firmenwert","Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:04. Geleistete Anzahlungen:Anzahlungen auf Geschäfts-, Firmenwert"
,II. Ingangsetzung und Erweiterung des Geschäftsbetriebes,Aktiva:A. Anlagevermögen:II. Ingangsetzung und Erweiterung des Geschäftsbetriebes
,IV. Sachanlagen,Aktiva:A. Anlagevermögen:IV. Sachanlagen
200,"01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken","Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken"
210,Grundstücke und grundstücksgleiche Rechte ohne Bauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Grundstücke und grundstücksgleiche Rechte ohne Bauten"
215,Unbebaute Grundstücke,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Grundstücke und grundstücksgleiche Rechte ohne Bauten:Unbebaute Grundstücke"
220,Grundstücksgleiche Rechte,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Grundstücke und grundstücksgleiche Rechte ohne Bauten:Grundstücksgleiche Rechte"
225,Grundstücke mit Substanzverzehr,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Grundstücke und grundstücksgleiche Rechte ohne Bauten:Grundstücke mit Substanzverzehr"
229,Grundstücksanteil des häuslichen Arbeitszimmers,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Grundstücke und grundstücksgleiche Rechte ohne Bauten:Grundstücksanteil des häuslichen Arbeitszimmers"
230,Bauten auf eigenen Grundstücken,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken"
235,Grundstückswert bebauter Grundstücke,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Grundstückswert bebauter Grundstücke"
240,Geschäftsbauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Geschäftsbauten"
250,Fabrikbauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Fabrikbauten"
260,Andere Bauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Andere Bauten"
270,Garagen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Garagen"
280,"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten","Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Außenanlagen für Geschäfts-, Fabrik- und andere Bauten"
285,Hof- und Wegebefestigungen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Hof- und Wegebefestigungen"
290,"Einrichtungen für Geschäfts-, Fabrik- und andere Bauten","Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf eigenen Grundstücken:Einrichtungen für Geschäfts-, Fabrik- und andere Bauten"
300,Wohnbauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Wohnbauten"
305,Garagen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Wohnbauten:Garagen"
310,Außenanlagen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Wohnbauten:Außenanlagen"
315,Hof- und Wegebefestigungen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Wohnbauten:Hof- und Wegebefestigungen"
320,Einrichtungen für Wohnbauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Wohnbauten:Einrichtungen für Wohnbauten"
329,Gebäudeteil des häuslichen Arbeitszimmers,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Wohnbauten:Gebäudeteil des häuslichen Arbeitszimmers"
330,Bauten auf fremden Grundstücken,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken"
340,Geschäftsbauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Geschäftsbauten"
350,Fabrikbauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Fabrikbauten"
360,Wohnbauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Wohnbauten"
370,Andere Bauten,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Andere Bauten"
380,Garagen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Garagen"
390,Außenanlagen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Außenanlagen"
395,Hof- und Wegebefestigungen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Hof- und Wegebefestigungen"
398,"Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten","Aktiva:A. Anlagevermögen:IV. Sachanlagen:01. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken:Bauten auf fremden Grundstücken:Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten"
400,02. Technische Anlagen und Maschinen,Aktiva:A. Anlagevermögen:IV. Sachanlagen:02. Technische Anlagen und Maschinen
420,Technische Anlagen,Aktiva:A. Anlagevermögen:IV. Sachanlagen:02. Technische Anlagen und Maschinen:Technische Anlagen
440,Maschinen,Aktiva:A. Anlagevermögen:IV. Sachanlagen:02. Technische Anlagen und Maschinen:Maschinen
460,Maschinengebundene Werkzeuge,Aktiva:A. Anlagevermögen:IV. Sachanlagen:02. Technische Anlagen und Maschinen:Maschinengebundene Werkzeuge
470,Betriebsvorrichtungen,Aktiva:A. Anlagevermögen:IV. Sachanlagen:02. Technische Anlagen und Maschinen:Betriebsvorrichtungen
500,"03. Andere Anlagen, Betriebs- und Geschäftsausstattung","Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung"
510,Andere Anlagen,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Andere Anlagen"
520,PKW,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:PKW"
540,LKW,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:LKW"
560,Sonstige Transportmittel,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Sonstige Transportmittel"
620,Werkzeuge,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Werkzeuge"
630,Betriebsausstattung,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Betriebsausstattung"
635,Geschäftsausstattung,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Geschäftsausstattung"
640,Ladeneinrichtung,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Ladeneinrichtung"
650,Büroeinrichtung,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Büroeinrichtung"
660,Gerüst- und Schalungsmaterial,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Gerüst- und Schalungsmaterial"
670,Geringwertige Wirtschaftsgüter,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Geringwertige Wirtschaftsgüter"
675,Wirtschaftsgüter (Sammelposten),"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Wirtschaftsgüter (Sammelposten)"
680,Einbauten in fremde Grundstücke,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Einbauten in fremde Grundstücke"
690,Sonstige Betriebs- und Geschäftsausstattung,"Aktiva:A. Anlagevermögen:IV. Sachanlagen:03. Andere Anlagen, Betriebs- und Geschäftsausstattung:Sonstige Betriebs- und Geschäftsausstattung"
700,04. Geleistete Anzahlungen und Anlagen im Bau,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau
705,Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten
710,"Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken","Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken"
720,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten","Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten"
725,Wohnbauten im Bau auf eigenen Grundstücken,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Wohnbauten im Bau auf eigenen Grundstücken
735,Anzahlungen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Anzahlungen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten
740,"Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken","Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken"
750,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken","Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken"
755,Wohnbauten im Bau auf fremden Grundstücken,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Wohnbauten im Bau auf fremden Grundstücken
765,Anzahlungen auf Wohnbauten auf fremden Grundstücken,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Anzahlungen auf Wohnbauten auf fremden Grundstücken
770,Technische Anlagen und Maschinen im Bau,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Technische Anlagen und Maschinen im Bau
780,Anzahlungen auf technische Anlagen,Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Anzahlungen auf technische Anlagen
785,"Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau","Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau"
795,"Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung","Aktiva:A. Anlagevermögen:IV. Sachanlagen:04. Geleistete Anzahlungen und Anlagen im Bau:Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung"
,V. Finanzanlagen,Aktiva:A. Anlagevermögen:V. Finanzanlagen
800,01. Anteile an verbundenen Unternehmen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:01. Anteile an verbundenen Unternehmen
803,"Anteile an verbundenen Unternehmen, Personengesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:01. Anteile an verbundenen Unternehmen:Anteile an verbundenen Unternehmen, Personengesellschaften"
804,"Anteile an verbundenen Unternehmen, Kapitalgesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:01. Anteile an verbundenen Unternehmen:Anteile an verbundenen Unternehmen, Kapitalgesellschaften"
805,"Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:01. Anteile an verbundenen Unternehmen:Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften"
806,Anteile einer GmbH & Co. KG an einer Komplementär-GmbH,Aktiva:A. Anlagevermögen:V. Finanzanlagen:01. Anteile an verbundenen Unternehmen:Anteile einer GmbH & Co. KG an einer Komplementär-GmbH
808,"Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:01. Anteile an verbundenen Unternehmen:Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften"
809,Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft,Aktiva:A. Anlagevermögen:V. Finanzanlagen:01. Anteile an verbundenen Unternehmen:Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft
810,02. Ausleihungen an verbundene Unternehmen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:02. Ausleihungen an verbundene Unternehmen
813,"Ausleihungen an verbundene Unternehmen, Personengesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:02. Ausleihungen an verbundene Unternehmen:Ausleihungen an verbundene Unternehmen, Personengesellschaften"
814,"Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:02. Ausleihungen an verbundene Unternehmen:Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften"
815,"Ausleihungen an verbundene Unternehmen, Einzelunternehmen","Aktiva:A. Anlagevermögen:V. Finanzanlagen:02. Ausleihungen an verbundene Unternehmen:Ausleihungen an verbundene Unternehmen, Einzelunternehmen"
820,03. Beteiligungen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:03. Beteiligungen
829,Beteiligung einer GmbH & Co.KG an einer Komplementär GmbH,Aktiva:A. Anlagevermögen:V. Finanzanlagen:03. Beteiligungen:Beteiligung einer GmbH & Co.KG an einer Komplementär GmbH
830,Typisch stille Beteiligungen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:03. Beteiligungen:Typisch stille Beteiligungen
840,Atypische stille Beteiligungen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:03. Beteiligungen:Atypische stille Beteiligungen
850,Andere Beteiligungen an Kapitalgesellschaften,Aktiva:A. Anlagevermögen:V. Finanzanlagen:03. Beteiligungen:Andere Beteiligungen an Kapitalgesellschaften
860,Andere Beteiligungen an Personengesellschaften,Aktiva:A. Anlagevermögen:V. Finanzanlagen:03. Beteiligungen:Andere Beteiligungen an Personengesellschaften
880,"04. Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Aktiva:A. Anlagevermögen:V. Finanzanlagen:04. Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht"
883,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:04. Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften"
885,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften","Aktiva:A. Anlagevermögen:V. Finanzanlagen:04. Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften"
900,05. Wertpapiere des Anlagevermögens,Aktiva:A. Anlagevermögen:V. Finanzanlagen:05. Wertpapiere des Anlagevermögens
910,Wertpapiere mit Gewinnbeiligungsansprüchen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:05. Wertpapiere des Anlagevermögens:Wertpapiere mit Gewinnbeiligungsansprüchen
920,Festverzinsliche Wertpapiere,Aktiva:A. Anlagevermögen:V. Finanzanlagen:05. Wertpapiere des Anlagevermögens:Festverzinsliche Wertpapiere
930,06. Sonstige Ausleihungen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen
940,Darlehen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen:Darlehen
960,Ausleihungen an Gesellschafter,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen:Ausleihungen an Gesellschafter
961,Ausleihungen an GmbH-Gesellschafter,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen:Ausleihungen an GmbH-Gesellschafter
962,Ausleihungen an persönlich haftende Gesellschafter,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen:Ausleihungen an persönlich haftende Gesellschafter
963,Ausleihungen an Kommanditisten,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen:Ausleihungen an Kommanditisten
964,Ausleihungen an stille Gesellschafter,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen:Ausleihungen an stille Gesellschafter
970,Ausleihungen an nahe stehende Personen,Aktiva:A. Anlagevermögen:V. Finanzanlagen:06. Sonstige Ausleihungen:Ausleihungen an nahe stehende Personen
980,07. Genossenschaftsanteile zum langfristigen Verbleib,Aktiva:A. Anlagevermögen:V. Finanzanlagen:07. Genossenschaftsanteile zum langfristigen Verbleib
990,08. Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib,Aktiva:A. Anlagevermögen:V. Finanzanlagen:08. Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib
